Id,datetime,yr,mnth,hr,season,holiday,weekday,workingday,weathersit,temp,atemp,hum,windspeed,demand
7057,26/10/2011,0,10,15,4,0,3,1,2,0.52,0.05,0.053472222,0.0,False
2659,25/04/2011,0,4,16,2,0,1,1,1,0.07,4.524305556,0.54,2.4875,True
10749,28/03/2012,1,3,23,2,0,3,1,1,0.54,3.577777778,0.047222222,0.932638889,False
3765,10/06/2011,0,6,18,2,0,5,1,1,0.08,5.365972222,0.59,1.554861111,True
7579,17/11/2011,0,11,9,4,0,4,1,2,0.34,0.210416667,0.042361111,2.280555556,False
7847,28/11/2011,0,11,14,4,0,1,1,1,0.06,4.313888889,0.56,0.0,False
10100,01/03/2012,1,3,21,1,0,4,1,1,0.42,2.945833333,0.47,3.213194444,False
13943,09/08/2012,1,8,3,3,0,4,1,1,0.047222222,4.419444444,0.057638889,0.622222222,False
6531,04/10/2011,0,10,16,4,0,2,1,1,0.58,3.788194444,0.56,2.280555556,True
11107,12/04/2012,1,4,23,2,0,4,1,1,0.42,2.945833333,0.35,0.134722222,False
8189,12/12/2011,0,12,20,4,0,1,1,1,0.03,2.209722222,0.56,0.622222222,False
12331,02/06/2012,1,6,23,2,0,6,0,1,0.56,3.682638889,0.52,0.725694444,True
3464,29/05/2011,0,5,5,2,0,0,0,1,0.06,3.577777778,0.065277778,1.140277778,False
13218,09/07/2012,1,7,22,3,0,1,1,2,0.05,4.629861111,0.58,0.725694444,True
12981,30/06/2012,1,6,1,3,0,6,0,3,0.044444444,3.998611111,0.061805556,1.554861111,False
3275,21/05/2011,0,5,8,2,0,6,0,1,0.56,3.682638889,0.047222222,1.969444444,False
13830,04/08/2012,1,8,10,3,0,6,0,1,0.056944444,5.365972222,0.57,0.134722222,True
5565,24/08/2011,0,8,18,3,0,3,1,1,0.051388889,4.734722222,0.55,2.072916667,True
14897,17/09/2012,1,9,21,3,0,1,1,3,0.043055556,3.998611111,0.057638889,1.554861111,True
9343,30/01/2012,1,1,4,1,0,1,1,1,0.02,1.472916667,0.51,0.932638889,False
7549,16/11/2011,0,11,3,4,0,3,1,2,0.46,3.15625,0.065277778,0.725694444,False
826,06/02/2011,0,2,20,1,0,0,0,1,0.28,1.999305556,0.042361111,0.725694444,False
12140,26/05/2012,1,5,0,2,0,6,0,1,0.044444444,3.998611111,0.057638889,1.140277778,False
115,05/01/2011,0,1,23,1,0,3,1,1,0.02,1.788888889,0.47,0.0,False
3787,11/06/2011,0,6,16,2,0,6,0,2,0.08,5.050694444,0.46,0.134722222,True
9137,21/01/2012,1,1,14,1,0,6,0,3,0.02,0.136805556,0.08,0.134722222,False
11871,14/05/2012,1,5,19,2,0,1,1,3,0.58,3.788194444,0.061111111,0.932638889,True
15703,21/10/2012,1,10,11,4,0,0,0,1,0.52,0.05,0.44,2.280555556,True
16273,15/11/2012,1,11,18,4,0,4,1,2,0.36,2.420138889,0.57,0.134722222,True
17259,26/12/2012,1,12,23,1,0,3,1,3,0.26,1.578472222,0.060416667,2.072916667,False
7266,04/11/2011,0,11,8,4,0,5,1,2,0.04,2.840972222,0.060416667,2.4875,True
8377,20/12/2011,0,12,16,4,0,2,1,1,0.44,3.051388889,0.54,0.0,True
14555,03/09/2012,1,9,15,3,1,1,0,1,0.051388889,0.484027778,0.07,1.554861111,True
1404,03/03/2011,0,3,18,1,0,4,1,1,0.24,1.472916667,0.35,2.280555556,False
2827,02/05/2011,0,5,16,2,0,1,1,1,0.045833333,4.313888889,0.042361111,1.554861111,True
6840,17/10/2011,0,10,13,4,0,1,1,1,0.56,3.682638889,0.46,0.622222222,True
13284,12/07/2012,1,7,16,3,0,4,1,1,0.08,4.945138889,0.36,0.134722222,True
8962,14/01/2012,1,1,6,1,0,6,0,1,0.14,1.052083333,0.05,0.0,False
1354,01/03/2011,0,3,16,1,0,2,1,1,0.34,2.420138889,0.34,0.622222222,False
15515,13/10/2012,1,10,15,4,0,6,0,1,0.05,3.366666667,0.36,0.134722222,True
11332,22/04/2012,1,4,8,2,0,0,0,3,0.04,2.840972222,0.056944444,1.761805556,False
8707,03/01/2012,1,1,14,1,0,2,1,1,0.16,0.841666667,0.43,3.627777778,False
763,04/02/2011,0,2,5,1,0,5,1,2,0.14,1.052083333,0.04375,0.932638889,False
11484,28/04/2012,1,4,16,2,0,6,0,2,0.44,3.051388889,0.38,0.134722222,True
6944,21/10/2011,0,10,22,4,0,5,1,1,0.42,2.945833333,0.54,1.140277778,False
11623,04/05/2012,1,5,11,2,0,5,1,2,0.07,4.524305556,0.042361111,0.0,True
10427,15/03/2012,1,3,13,1,0,4,1,2,0.045833333,4.313888889,0.41,0.622222222,True
2872,04/05/2011,0,5,13,2,0,3,1,2,0.46,3.15625,0.59,3.109722222,False
16022,05/11/2012,1,11,6,4,0,1,1,2,0.03,1.999305556,0.49,1.969444444,False
11025,09/04/2012,1,4,12,2,0,1,1,1,0.54,3.577777778,0.28,4.975,True
9397,01/02/2012,1,2,10,1,0,3,1,1,0.04,2.840972222,0.043055556,0.932638889,False
14956,20/09/2012,1,9,8,3,0,4,1,1,0.05,3.366666667,0.047222222,0.622222222,True
432,20/01/2011,0,1,0,1,0,4,1,1,0.26,1.578472222,0.56,2.695138889,False
7211,02/11/2011,0,11,1,4,0,3,1,1,0.03,2.314583333,0.060416667,0.0,False
4724,20/07/2011,0,7,17,3,0,3,1,1,0.058333333,5.786805556,0.59,0.134722222,True
8603,30/12/2011,0,12,5,1,0,5,1,1,0.22,1.788888889,0.052083333,0.622222222,False
11160,15/04/2012,1,4,4,2,0,0,0,2,0.54,3.577777778,0.52,0.0,False
13661,28/07/2012,1,7,9,3,0,6,0,1,0.054166667,5.155555556,0.59,0.725694444,True
13446,19/07/2012,1,7,10,3,0,4,1,1,0.052777778,4.945138889,0.58,0.134722222,False
7588,17/11/2011,0,11,18,4,0,4,1,1,0.32,2.209722222,0.39,0.134722222,True
1135,20/02/2011,0,2,0,1,0,0,0,1,0.26,1.472916667,0.35,3.109722222,False
2203,06/04/2011,0,4,15,2,0,3,1,1,0.52,0.05,0.32,2.280555556,False
8388,21/12/2011,0,12,3,1,0,3,1,2,0.36,2.630555556,0.049305556,0.0,False
611,28/01/2011,0,1,16,1,0,5,1,1,0.22,1.89375,0.08,0.0,False
2982,09/05/2011,0,5,3,2,0,1,1,1,0.46,3.15625,0.056944444,0.622222222,False
3259,20/05/2011,0,5,16,2,0,5,1,2,0.06,4.313888889,0.53,1.140277778,True
2619,24/04/2011,0,4,0,2,0,0,0,1,0.52,0.05,0.057638889,1.554861111,False
14741,11/09/2012,1,9,9,3,0,2,1,1,0.06,4.313888889,0.49,0.0,True
9933,23/02/2012,1,2,21,1,0,4,1,1,0.44,3.051388889,0.51,1.554861111,True
11846,13/05/2012,1,5,18,2,0,0,0,2,0.047222222,4.419444444,0.44,2.4875,True
4729,20/07/2011,0,7,22,3,0,3,1,1,0.054166667,5.365972222,0.07,1.554861111,False
16289,16/11/2012,1,11,10,4,0,5,1,1,0.34,2.314583333,0.53,0.134722222,False
1493,07/03/2011,0,3,13,1,0,1,1,1,0.32,1.999305556,0.36,2.695138889,False
9100,20/01/2012,1,1,1,1,0,5,1,1,0.26,1.89375,0.48,0.932638889,False
10606,23/03/2012,1,3,0,2,0,5,1,1,0.56,3.682638889,0.057638889,0.0,False
5242,11/08/2011,0,8,7,3,0,4,1,1,0.045833333,4.313888889,0.54,0.932638889,True
4438,08/07/2011,0,7,19,3,0,5,1,1,0.045833333,4.209027778,0.057638889,0.622222222,True
1827,21/03/2011,0,3,20,2,0,1,1,1,0.56,3.682638889,0.044444444,0.134722222,False
6418,29/09/2011,0,9,23,4,0,4,1,1,0.52,0.05,0.053472222,0.725694444,False
15955,02/11/2012,1,11,11,4,0,5,1,1,0.42,2.945833333,0.41,2.902083333,True
7573,17/11/2011,0,11,3,4,0,4,1,2,0.42,2.945833333,0.053472222,2.280555556,False
11558,01/05/2012,1,5,18,2,0,2,1,1,0.07,4.524305556,0.54,0.932638889,True
12804,22/06/2012,1,6,16,3,0,5,1,1,0.09,0.557638889,0.31,1.554861111,True
4890,27/07/2011,0,7,15,3,0,3,1,1,0.059722222,5.155555556,0.26,1.761805556,False
15032,23/09/2012,1,9,12,4,0,0,0,1,0.56,3.682638889,0.43,0.725694444,True
8205,13/12/2011,0,12,12,4,0,2,1,1,0.36,2.314583333,0.43,2.4875,False
7990,04/12/2011,0,12,13,4,0,0,0,1,0.04,2.840972222,0.045833333,1.554861111,True
3714,08/06/2011,0,6,15,2,0,3,1,1,0.063888889,6.102777778,0.04,1.140277778,False
13474,20/07/2012,1,7,14,3,0,5,1,3,0.07,4.629861111,0.058333333,1.140277778,True
13302,13/07/2012,1,7,10,3,0,5,1,2,0.051388889,4.629861111,0.48,0.0,True
9447,03/02/2012,1,2,12,1,0,5,1,1,0.34,2.314583333,0.46,0.932638889,True
9789,17/02/2012,1,2,19,1,0,5,1,1,0.38,2.735416667,0.37,1.554861111,True
